Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,50.08000183105469,51.630001068115234,49.75,51.29999923706055,48.279205322265625,2635800
2019-01-03,51.22999954223633,51.380001068115234,48.310001373291016,49.06999969482422,46.18052291870117,3408700
2019-01-04,50.11000061035156,52.13999938964844,49.599998474121094,51.720001220703125,48.674476623535156,3074400
2019-01-07,51.810001373291016,52.65999984741211,50.900001525878906,52.34000015258789,49.25796890258789,2560600
2019-01-08,52.7599983215332,53.189998626708984,51.29999923706055,51.81999969482422,48.76858901977539,2339700
2019-01-09,52.459999084472656,53.83000183105469,51.86000061035156,52.95000076293945,49.83205032348633,2276400
2019-01-10,52.779998779296875,53.970001220703125,51.72999954223633,53.31999969482422,50.18026351928711,2392700
2019-01-11,52.90999984741211,54.47999954223633,52.810001373291016,53.52000045776367,50.36848449707031,1631700
2019-01-14,52.91999816894531,53.470001220703125,52.54999923706055,53.09000015258789,49.96380615234375,1802200
2019-01-15,53.65999984741211,53.65999984741211,52.41999816894531,52.86000061035156,49.74734878540039,1063000
2019-01-16,53.130001068115234,53.79999923706055,52.599998474121094,53.29999923706055,50.16143798828125,1391800
2019-01-17,52.91999816894531,55.2599983215332,52.91999816894531,55.08000183105469,51.83662414550781,2012400
2019-01-18,55.65999984741211,56.04999923706055,54.77000045776367,55.970001220703125,52.67422103881836,2485100
2019-01-22,55.41999816894531,56.040000915527344,54.290000915527344,54.349998474121094,51.14961242675781,3262900
2019-01-23,54.59000015258789,55.38999938964844,53.68000030517578,54.209999084472656,51.017852783203125,1251500
2019-01-24,54.220001220703125,54.54999923706055,53.560001373291016,53.849998474121094,50.679046630859375,1667800
2019-01-25,54.34000015258789,55.84000015258789,53.58000183105469,55.060001373291016,51.81780242919922,2199400
2019-01-28,54.11000061035156,54.66999816894531,53.439998626708984,53.630001068115234,50.472007751464844,1875400
2019-01-29,53.7400016784668,54.20000076293945,53.22999954223633,54.099998474121094,50.914329528808594,1575400
2019-01-30,54.439998626708984,56.060001373291016,53.88999938964844,55.900001525878906,52.608341217041016,2439200
2019-01-31,56.5099983215332,57.66999816894531,55.869998931884766,56.34000015258789,53.022430419921875,3534400
2019-02-01,56.40999984741211,56.40999984741211,54.7400016784668,55.20000076293945,51.94955825805664,1459200
2019-02-04,55.02000045776367,55.619998931884766,54.77000045776367,55.13999938964844,51.89309310913086,1555100
2019-02-05,55.15999984741211,56.470001220703125,54.810001373291016,56.41999816894531,53.097713470458984,1654700
2019-02-06,55.93000030517578,56.560001373291016,55.630001068115234,56.47999954223633,53.1541862487793,1978700
2019-02-07,56.290000915527344,57.31999969482422,54.470001220703125,54.7599983215332,51.535465240478516,2580900
2019-02-08,54.36000061035156,55.2400016784668,53.2400016784668,53.95000076293945,50.773162841796875,1617800
2019-02-11,53.880001068115234,55.52000045776367,53.61000061035156,54.959999084472656,51.72369384765625,2008300
2019-02-12,55.5,55.650001525878906,54.63999938964844,54.77000045776367,51.54487609863281,2019700
2019-02-13,54.81999969482422,56.33000183105469,54.66999816894531,56.16999816894531,52.86243438720703,1341000
2019-02-14,56.189998626708984,57.34000015258789,55.4900016784668,57.04999923706055,53.69062042236328,2106800
2019-02-15,57.58000183105469,58.130001068115234,57.29999923706055,57.88999938964844,54.48115921020508,1663300
2019-02-19,57.7400016784668,57.939998626708984,57.060001373291016,57.58000183105469,54.18941879272461,1763700
2019-02-20,56.9900016784668,57.38999938964844,55.5,56.099998474121094,52.79656219482422,2667800
2019-02-21,56.099998474121094,57.099998474121094,54.93000030517578,55.25,51.996612548828125,2615700
2019-02-22,55.81999969482422,56.040000915527344,55.16999816894531,55.52000045776367,52.25071334838867,2309000
2019-02-25,55.470001220703125,55.790000915527344,54.650001525878906,54.720001220703125,51.497825622558594,1882300
2019-02-26,54.529998779296875,54.849998474121094,53.68000030517578,53.70000076293945,50.844512939453125,1952200
